City,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Burbank city,"103,351","103,732","104,077","104,355","104,405","104,472","104,097","104,174","103,349","102,511","107,143","105,291","103,920"
Burlingame city,"28,838","29,261","29,640","29,928","30,258","30,458","30,439","30,588","30,434","30,889","31,270","30,178","30,559"
Calabasas city,"23,464","23,742","23,825","24,041","24,058","24,102","24,068","24,047","23,867","23,853","23,178","22,889","22,491"
Calexico city,"38,661","38,927","39,147","39,298","39,550","39,767","40,028","40,083","40,072","39,825","38,533","38,540","38,249"
California City city,"13,467","12,834","13,344","13,202","13,203","13,202","13,656","13,884","14,167","14,198","15,051","15,029","15,127"
Calimesa city,"7,918","7,997","8,092","8,201","8,380","8,493","8,621","8,807","8,944","9,160","10,165","10,891","11,017"
Calipatria city,"7,689","7,684","7,986","7,083","7,491","7,391","7,505","7,539","7,418","7,114","6,585","6,385","6,322"
Calistoga city,"5,174","5,204","5,224","5,256","5,274","5,285","5,285","5,241","5,300","5,247","5,215","5,184","5,029"
Camarillo city,"65,257","65,515","65,656","65,882","66,517","67,171","67,141","67,403","68,883","69,888","70,830","70,904","70,282"
Campbell city,"40,669","41,027","41,519","41,891","42,256","42,262","42,303","42,567","42,243","41,793","43,831","42,753","42,286"
Canyon Lake city,"10,599","10,699","10,783","10,861","10,945","11,007","11,095","11,188","11,251","11,280","11,084","11,159","11,142"
Capitola city,"9,925","9,968","10,010","10,066","10,114","10,166","10,178","10,152","10,073","10,010","9,923","9,837","9,659"
Carlsbad city,"105,674","107,460","108,948","110,665","111,609","112,662","113,265","114,477","115,518","115,382","114,896","115,224","114,160"
Carmel-by-the-Sea city,"3,687","3,716","3,749","3,780","3,804","3,821","3,836","3,822","3,815","3,811","3,210","3,193","3,146"
Carpinteria city,"13,013","13,021","13,144","13,460","13,565","13,605","13,598","13,540","13,436","13,385","13,239","13,115","12,950"
Carson city,"91,599","91,690","92,162","92,535","92,684","92,752","92,572","92,193","91,626","91,394","95,286","93,285","92,388"
Cathedral City city,"51,452","52,077","52,478","52,846","53,187","53,516","53,943","54,413","54,793","55,007","51,569","52,230","52,494"
Ceres city,"45,901","46,057","46,263","46,482","46,918","47,431","47,985","48,340","48,540","48,706","49,312","49,308","48,988"
Cerritos city,"49,042","49,223","49,384","49,507","49,532","49,546","50,346","50,697","50,288","49,859","49,402","48,340","47,475"
Chico city,"86,783","87,269","87,915","88,362","89,491","90,369","91,564","93,066","94,342","103,301","102,135","100,162","101,299"
Chino city,"78,644","79,591","79,949","80,799","84,296","85,169","87,468","89,601","91,356","94,371","91,131","91,716","93,140"
Chino Hills city,"74,963","75,639","76,042","76,285","76,509","77,826","78,452","80,115","83,239","83,853","78,468","78,579","77,949"
Chowchilla city,"18,718","18,892","18,049","17,357","18,843","18,391","18,179","18,457","18,709","18,310","18,815","18,807","18,738"
Chula Vista city,"244,648","248,318","252,379","256,691","259,885","264,206","266,238","269,046","270,819","274,492","276,041","277,008","279,170"
Citrus Heights city,"83,273","83,781","84,308","84,924","85,665","86,543","87,179","87,675","87,707","87,796","87,521","87,111","86,433"
Claremont city,"34,899","35,190","35,281","35,650","35,715","35,962","35,889","35,835","36,370","36,266","37,183","36,674","36,001"
Clayton city,"10,958","11,148","11,271","11,481","11,667","11,840","12,008","12,127","12,196","12,265","11,062","10,985","10,904"
Clearlake city,"15,267","15,139","15,067","15,015","15,052","15,101","15,526","15,532","15,355","15,267","16,702","16,805","16,693"
Cloverdale city,"8,621","8,650","8,665","8,716","8,754","8,774","8,781","8,741","8,844","8,656","8,993","8,986","8,809"
Clovis city,"96,386","97,557","98,588","99,631","101,904","103,828","106,353","109,316","111,824","114,584","120,660","123,007","124,556"
Coachella city,"40,984","41,878","42,571","42,960","43,885","44,344","44,785","45,280","45,751","45,743","42,025","42,543","42,835"
Coalinga city,"18,330","18,303","17,055","16,974","16,647","16,755","16,827","16,988","16,774","17,179","17,654","17,155","17,024"
Colfax city,"1,957","1,975","1,987","1,996","2,000","1,994","1,997","1,999","1,996","2,002","1,991","2,015","2,021"
Colma town,"1,435","1,451","1,470","1,484","1,497","1,505","1,500","1,493","1,492","1,489","1,544","1,580","1,550"
Colton city,"52,261","52,712","52,945","53,105","53,706","54,291","54,507","54,680","54,637","54,824","53,970","54,272","53,918"
Colusa city,"6,229","6,190","6,190","6,171","6,126","6,105","6,156","6,146","6,094","6,060","6,398","6,396","6,368"
Commerce city,"12,840","12,887","12,929","12,960","12,964","12,963","12,922","12,862","12,762","12,661","12,317","12,042","11,828"
Compton city,"96,442","96,933","97,350","97,600","97,634","97,639","97,281","97,047","96,348","95,605","95,411","93,456","91,988"
Concord city,"122,505","123,518","124,678","125,888","127,128","128,303","129,036","129,592","129,743","129,295","125,256","124,337","122,625"
Corcoran city,"24,467","24,133","23,694","23,350","22,834","22,516","22,716","21,820","21,720","21,960","22,709","22,644","22,837"
Corning city,"7,676","7,643","7,612","7,550","7,516","7,531","7,546","7,582","7,564","7,710","8,232","8,196","8,226"
Corona city,"153,052","154,693","157,405","158,763","160,419","163,154","166,067","167,310","168,476","169,868","157,549","159,782","159,567"
Coronado city,"23,961","23,336","23,194","23,347","23,549","23,682","25,084","24,323","21,336","23,731","18,136","19,040","18,702"
Corte Madera town,"9,273","9,350","9,386","9,469","9,908","9,899","9,864","9,820","9,803","9,751","10,217","10,187","10,006"
Costa Mesa city,"110,221","111,151","111,790","112,244","112,485","112,808","112,933","113,665","113,302","113,003","111,797","110,885","109,521"
Cotati city,"7,273","7,303","7,320","7,375","7,411","7,427","7,443","7,451","7,584","7,410","7,580","7,529","7,453"
Covina city,"47,785","47,963","48,211","48,350","48,538","48,569","48,393","48,178","47,820","47,450","51,173","50,370","49,489"
Crescent City city,"7,596","7,517","7,393","7,169","6,780","6,767","6,644","6,386","6,805","6,787","6,511","6,170","5,983"
Cudahy city,"23,809","23,901","23,987","24,050","24,070","24,111","24,039","23,934","23,755","23,569","22,740","22,256","21,969"
Culver City city,"38,888","39,024","39,208","39,312","39,329","39,369","39,231","39,024","39,059","39,185","40,675","39,987","39,515"
Cupertino city,"58,689","59,172","59,769","60,198","60,592","60,519","60,900","60,588","60,004","59,276","60,157","58,578","57,856"
Cypress city,"47,957","48,399","48,677","48,971","48,936","48,994","48,813","48,835","48,826","49,006","50,171","49,858","49,243"
Daly City city,"101,262","102,460","103,915","104,980","105,887","106,538","106,882","106,733","106,869","106,280","104,633","101,482","100,007"
Dana Point city,"33,336","33,634","33,830","33,962","33,927","33,968","33,931","33,768","33,629","33,577","33,066","32,794","32,465"
Danville town,"41,987","42,379","42,801","43,262","43,817","44,311","44,715","44,727","44,683","44,510","43,527","43,294","42,732"
Davis city,"65,584","65,657","65,781","66,213","66,545","67,367","68,028","68,802","69,220","69,413","66,760","67,066","67,048"
Delano city,"53,130","53,620","52,403","52,331","52,447","52,495","52,568","52,877","52,921","53,573","49,852","50,668","50,843"
Del Mar city,"4,173","4,202","4,236","4,273","4,299","4,330","4,348","4,340","4,335","4,319","3,946","3,918","3,882"
Del Rey Oaks city,"1,628","1,640","1,655","1,664","1,670","1,674","1,679","1,672","1,662","1,654","1,588","1,578","1,553"
Desert Hot Springs city,"27,172","27,422","27,628","27,817","28,008","28,145","28,397","28,648","28,815","28,878","32,498","32,716","33,091"
Diamond Bar city,"55,588","55,854","56,087","56,233","56,279","56,429","56,581","56,334","56,106","55,720","54,896","53,763","52,855"
Dinuba city,"21,570","22,606","22,809","23,233","23,528","23,554","23,875","23,903","24,236","24,461","24,666","25,167","25,285"
Dixon city,"18,431","18,490","18,619","18,931","19,098","19,299","19,766","20,138","20,478","20,698","18,986","19,028","19,143"
Dorris city,941,930,915,902,900,903,902,903,898,897,860,864,851
Dos Palos city,"4,962","5,003","5,017","5,026","5,046","5,084","5,217","5,407","5,502","5,527","5,797","5,819","5,820"
Downey city,"111,785","112,215","112,582","112,858","113,091","113,260","112,896","112,426","111,915","111,126","113,973","111,570","109,934"
Duarte city,"21,348","21,425","21,601","21,646","21,808","21,809","21,725","21,624","21,454","21,271","21,662","21,271","21,807"
Dublin city,"45,903","46,804","48,700","52,027","54,554","57,545","59,579","60,797","63,423","64,826","72,524","71,516","72,060"
Dunsmuir city,"1,640","1,619","1,595","1,572","1,567","1,571","1,571","1,572","1,568","1,564","1,702","1,711","1,687"
East Palo Alto city,"28,222","28,551","28,926","29,212","29,482","29,661","29,811","29,671","29,486","29,314","29,931","28,897","28,383"
Eastvale city,"54,054","54,966","55,627","56,247","57,386","59,231","60,670","62,309","63,815","64,157","69,966","71,341","71,024"
El Cajon city,"99,823","100,795","101,537","102,303","102,789","103,230","103,527","103,468","103,041","102,708","106,126","105,474","104,414"
El Centro city,"42,678","42,977","43,023","43,316","43,496","43,655","44,028","44,114","44,089","44,079","44,207","44,201","43,811"
El Cerrito city,"23,644","23,845","24,074","24,323","24,551","24,902","25,458","25,468","25,607","25,508","25,967","25,878","25,583"
Elk Grove city,"153,375","155,615","158,083","160,251","162,701","165,997","169,156","171,425","172,603","174,775","176,732","178,283","177,558"
El Monte city,"113,677","114,101","114,843","115,414","115,627","115,824","115,550","115,514","115,308","115,487","109,111","106,918","105,312"
El Paso de Robles (Paso Robles) city,"29,786","30,076","30,399","30,718","31,108","31,346","31,722","31,772","32,133","32,153","31,555","31,777","31,544"
El Segundo city,"16,656","16,719","16,796","16,855","16,900","16,891","16,835","16,752","16,663","16,610","17,212","16,867","16,622"
Emeryville city,"10,125","10,222","10,358","10,878","11,311","11,765","11,792","11,751","12,109","12,086","12,939","12,875","12,913"
Encinitas city,"59,684","60,264","60,890","61,555","62,023","62,590","62,921","62,884","62,750","62,709","61,988","61,768","61,369"
Escalon city,"7,135","7,190","7,215","7,216","7,343","7,474","7,501","7,550","7,566","7,574","7,477","7,510","7,448"
Escondido city,"144,440","146,099","147,570","148,794","149,708","150,683","151,204","151,220","151,793","151,625","151,139","150,679","150,270"
Etna city,736,730,724,714,712,711,713,716,717,718,675,679,671
Eureka city,"27,201","27,161","26,931","26,895","26,874","26,902","27,153","27,126","26,968","26,710","26,477","26,369","26,129"
Exeter city,"10,341","10,375","10,420","10,458","10,490","10,486","10,477","10,502","10,508","10,485","10,327","10,321","10,267"
Fairfax town,"7,450","7,512","7,545","7,609","7,631","7,624","7,602","7,568","7,560","7,522","7,586","7,557","7,423"
Fairfield city,"105,598","106,245","107,497","109,137","110,727","112,365","114,456","115,817","116,678","117,133","119,874","119,835","119,338"
Farmersville city,"10,585","10,594","10,639","10,680","10,711","10,710","10,702","10,726","10,729","10,703","10,408","10,377","10,324"
Ferndale city,"1,374","1,379","1,367","1,362","1,363","1,364","1,371","1,372","1,363","1,352","1,404","1,406","1,398"
Fillmore city,"15,013","15,076","15,117","15,226","15,324","15,444","15,557","15,703","15,742","15,870","16,409","16,508","16,657"
Firebaugh city,"7,601","7,764","7,894","8,053","8,259","8,276","8,290","8,294","8,315","8,296","8,089","8,109","8,418"
Folsom city,"72,110","72,542","73,042","72,782","74,950","75,935","76,999","77,798","78,842","81,328","80,749","81,687","83,269"
Fontana city,"197,317","199,880","201,212","202,670","203,972","206,163","208,718","211,122","213,202","214,547","208,620","210,540","212,475"
Fort Bragg city,"7,307","7,277","7,279","7,268","7,283","7,277","7,291","7,308","7,347","7,291","6,968","6,967","6,881"
Fort Jones city,710,704,694,686,684,683,685,690,689,692,693,696,689
Fortuna city,"12,048","12,028","11,927","11,891","11,973","12,057","12,199","12,277","12,322","12,259","12,518","12,518","12,516"
Foster City city,"30,609","30,965","32,098","32,416","32,698","33,470","34,279","34,292","34,109","33,901","33,685","32,575","32,026"
Fountain Valley city,"55,470","55,950","56,318","56,601","56,671","56,643","56,423","56,051","55,663","55,357","56,967","56,440","55,930"
Fowler city,"5,665","5,921","5,929","5,938","6,028","6,242","6,353","6,487","6,750","6,790","6,764","6,950","7,154"
Fremont city,"214,553","217,391","221,426","224,796","228,274","231,687","233,478","234,544","237,811","241,110","230,194","226,532","223,871"
Fresno city,"497,769","501,429","505,414","508,880","514,100","518,203","521,426","525,373","528,814","531,576","542,447","543,910","545,567"
Fullerton city,"135,291","136,386","138,103","138,637","138,840","139,982","140,454","139,744","139,273","138,632","143,419","140,559","140,541"
Galt city,"23,739","24,142","24,274","24,433","24,760","25,226","25,619","26,167","26,378","26,536","25,405","25,400","25,411"
Gardena city,"58,835","59,114","59,368","59,788","59,843","59,946","59,873","59,871","59,540","59,329","60,875","59,721","58,843"
Garden Grove city,"171,181","172,957","173,809","174,422","174,423","174,343","174,571","173,422","172,195","171,644","171,759","170,511","169,254"
Gilroy city,"49,006","49,700","50,718","51,893","52,538","53,259","55,369","57,549","58,588","59,032","59,383","58,115","58,005"
Glendale city,"191,720","192,656","193,859","195,318","198,232","199,197","200,118","201,804","200,688","199,303","195,995","192,272","189,221"
Glendora city,"50,376","50,624","50,795","51,120","51,065","51,769","51,882","51,997","51,846","51,544","52,497","51,592","50,824"
Goleta city,"30,143","30,176","30,387","30,639","30,880","30,963","30,921","31,098","30,954","30,911","32,738","32,841","32,432"
Gonzales city,"8,171","8,230","8,301","8,349","8,379","8,402","8,428","8,396","8,349","8,306","8,633","8,577","8,439"
Grand Terrace city,"12,064","12,155","12,243","12,301","12,334","12,387","12,460","12,557","12,556","12,584","13,166","13,218","13,109"
Grass Valley city,"12,876","12,903","12,820","12,784","12,840","12,929","12,927","12,932","12,881","12,817","14,009","14,144","13,930"
Greenfield city,"16,414","16,540","16,682","16,766","16,826","17,047","17,361","17,362","17,561","17,516","18,980","19,075","19,359"
Gridley city,"6,634","6,605","6,605","6,603","6,624","6,617","6,622","6,636","6,634","7,246","7,370","7,360","7,227"
Grover Beach city,"13,176","13,210","13,307","13,403","13,464","13,526","13,586","13,585","13,501","13,459","12,696","12,719","12,619"
Guadalupe city,"7,086","7,091","7,139","7,191","7,248","7,279","7,288","7,319","7,613","7,783","8,124","8,537","8,657"
Gustine city,"5,534","5,582","5,601","5,621","5,649","5,712","5,801","5,815","5,847","5,882","6,150","6,178","6,181"
Half Moon Bay city,"11,345","11,501","11,677","12,054","12,355","12,657","12,761","12,840","12,974","12,932","11,765","11,381","11,176"
Hanford city,"54,463","54,612","54,524","54,741","55,086","55,608","55,663","56,383","56,971","57,703","58,098","58,468","58,470"
Hawaiian Gardens city,"14,277","14,329","14,376","14,419","14,430","14,461","14,423","14,356","14,262","14,159","14,101","13,808","13,593"
Hawthorne city,"84,295","84,922","85,359","85,863","86,740","87,669","87,685","87,308","86,671","86,068","87,804","86,010","84,563"
Hayward city,"144,835","146,935","149,406","151,753","154,376","157,999","159,331","160,324","159,760","159,203","162,602","158,445","156,754"
Healdsburg city,"11,309","11,350","11,392","11,485","11,613","11,705","11,806","11,795","12,076","11,845","11,347","11,318","11,709"
Hemet city,"79,090","80,226","81,033","81,718","82,541","83,305","84,121","84,809","85,148","85,334","89,844","90,480","90,689"
Hercules city,"24,147","24,346","24,571","24,804","25,038","25,271","25,416","25,505","25,612","26,276","26,009","26,114","25,920"
Hermosa Beach city,"19,506","19,570","19,640","19,674","19,659","19,688","19,722","19,590","19,404","19,320","19,687","19,278","18,985"
Hesperia city,"90,279","91,168","91,568","91,777","92,071","92,653","93,251","94,473","95,013","95,750","100,090","100,847","100,744"
Hidden Hills city,"1,856","1,869","1,878","1,891","1,895","1,908","1,916","1,910","1,891","1,890","1,722","1,700","1,694"
Highland city,"53,218","53,671","53,939","54,150","54,325","54,553","54,752","55,198","55,311","55,417","57,034","57,115","56,705"
Hillsborough town,"10,859","11,001","11,131","11,261","11,379","11,466","11,490","11,464","11,446","11,387","11,358","11,030","10,956"
Hollister city,"34,973","35,304","35,731","36,184","36,665","36,960","37,576","38,377","39,750","40,740","41,909","43,326","44,218"
Holtville city,"5,961","6,002","6,007","6,021","6,251","6,360","6,418","6,559","6,661","6,621","5,600","5,583","5,513"
Hughson city,"6,664","6,714","6,849","6,988","7,177","7,319","7,398","7,467","7,538","7,565","7,499","7,522","7,734"
Huntington Beach city,"191,296","192,995","194,174","197,107","199,610","200,653","200,284","200,938","200,126","199,223","198,410","196,463","194,310"
Huntington Park city,"58,125","58,334","58,524","58,739","58,908","58,933","58,701","58,476","57,998","57,509","54,712","53,584","52,633"
Huron city,"6,752","6,745","6,754","6,765","6,779","6,802","6,924","7,285","7,278","7,281","6,203","6,225","6,240"
Imperial city,"14,836","15,190","15,556","16,111","16,680","16,943","17,089","17,432","17,671","18,120","20,417","21,021","21,233"
Imperial Beach city,"26,388","26,617","26,821","27,031","27,055","27,259","27,329","27,278","27,362","27,440","26,127","25,997","25,791"
Indian Wells city,"4,982","5,040","5,088","5,139","5,193","5,255","5,324","5,392","5,435","5,470","4,775","4,844","4,860"
Indio city,"79,665","81,046","82,250","83,358","85,127","86,917","88,196","89,438","90,970","91,765","89,274","90,528","91,980"
Industry city,214,206,204,207,207,207,207,206,204,202,260,257,255
Inglewood city,"109,658","110,501","110,866","110,954","110,840","110,693","110,271","109,907","109,038","108,151","107,384","105,097","103,621"
Ione city,"7,748","7,562","7,318","6,963","6,972","6,997","7,031","7,818","8,381","8,568","5,171","5,234","5,364"
Irvine city,"213,450","220,303","229,063","236,057","247,136","255,382","265,345","276,000","281,732","287,401","308,974","305,096","313,685"
Irwindale city,"1,418","1,416","1,413","1,413","1,417","1,421","1,427","1,452","1,458","1,446","1,462","1,438","1,413"
Isleton city,805,810,815,819,824,830,835,844,843,844,797,793,782
Jackson city,"4,658","4,624","4,607","4,596","4,611","4,660","4,695","4,734","4,793","4,840","5,002","5,078","5,113"
Jurupa Valley city,"95,590","97,195","98,350","99,469","100,080","101,460","103,240","105,760","108,314","109,527","105,313","106,982","107,609"
Kerman city,"13,634","13,877","14,285","14,299","14,329","14,412","14,534","14,860","14,987","15,282","16,039","16,172","16,208"
King City city,"12,902","13,001","13,119","13,189","13,482","13,789","13,830","13,941","13,970","14,077","13,351","13,436","13,738"
Kingsburg city,"11,464","11,556","11,636","11,698","11,727","11,800","11,831","12,013","12,071","12,108","12,448","12,664","12,613"
La Cañada Flintridge city,"20,258","20,348","20,417","20,470","20,451","20,428","20,397","20,297","20,161","20,009","20,506","20,077","19,752"
Lafayette city,"23,873","24,288","24,570","25,024","25,423","25,790","26,153","26,388","26,524","26,638","25,371","25,230","25,044"
Laguna Beach city,"22,765","22,976","23,098","23,213","23,214","23,232","23,165","23,045","22,931","22,827","23,000","22,775","22,583"
Laguna Hills city,"30,713","30,983","31,146","31,260","31,215","31,973","31,849","31,631","31,395","31,207","31,306","30,964","30,568"
Laguna Niguel city,"63,119","63,774","64,134","64,381","65,079","65,396","65,145","66,011","66,079","66,385","64,226","64,140","63,742"
Laguna Woods city,"16,012","16,148","16,233","16,290","16,264","16,251","16,184","16,068","15,949","15,850","17,617","17,421","17,192"
La Habra city,"59,108","59,658","59,970","60,224","60,421","60,473","60,292","60,898","60,778","60,513","63,096","62,599","61,978"
La Habra Heights city,"6,540","6,573","6,606","6,622","6,628","6,639","6,616","6,590","6,545","6,492","5,661","5,545","5,447"
Lake Elsinore city,"53,627","55,078","56,044","57,711","60,111","61,955","63,807","66,066","68,051","69,283","70,333","71,505","71,898"
Lake Forest city,"77,552","78,299","78,727","79,112","79,678","81,964","83,019","83,878","85,381","85,531","85,848","85,631","85,638"
Lakeport city,"4,757","4,717","4,683","4,753","4,765","4,780","4,909","4,909","4,926","5,006","5,033","5,063","5,026"
Lakewood city,"80,079","80,413","80,672","80,883","80,927","80,951","80,895","80,510","79,907","79,307","82,213","80,473","79,063"
La Mesa city,"57,149","57,644","58,099","58,556","58,855","59,697","59,751","59,722","59,389","59,249","61,070","60,733","60,360"
La Mirada city,"48,535","48,702","48,851","48,961","49,019","49,129","49,054","48,827","48,544","48,183","47,839","46,909","46,323"
Lancaster city,"156,824","158,078","158,253","159,055","159,634","159,813","159,633","159,434","158,622","157,601","173,040","170,074","169,185"
La Palma city,"15,545","15,676","15,757","15,846","15,819","15,806","15,739","15,644","15,525","15,428","15,559","15,388","15,194"
La Puente city,"39,843","40,032","40,166","40,305","40,367","40,412","40,250","40,078","39,772","39,614","37,964","37,232","36,636"
La Quinta city,"37,670","38,142","38,494","39,119","39,742","40,209","40,777","41,180","41,464","41,748","37,630","38,169","38,392"
Larkspur city,"11,920","12,022","12,075","12,185","12,286","12,383","12,362","12,316","12,302","12,254","13,045","12,981","12,754"
Lathrop city,"17,695","18,313","18,615","19,120","19,506","20,287","21,564","22,221","23,227","24,483","29,052","30,601","33,670"
La Verne city,"31,103","31,231","31,349","31,659","32,240","32,442","32,350","32,258","32,096","31,974","31,500","30,883","30,380"
Lawndale city,"32,775","32,902","33,019","33,108","33,141","33,157","33,033","32,875","32,647","32,389","31,722","31,088","30,576"
Lemon Grove city,"25,380","25,603","25,934","26,116","26,404","26,554","26,766","26,963","26,885","26,811","27,614","27,431","27,224"
Lemoore city,"24,537","24,467","24,614","24,826","25,010","25,452","25,666","26,262","26,470","26,725","27,093","27,312","27,185"
Lincoln city,"43,099","43,771","44,240","45,018","45,727","46,286","46,965","47,525","47,862","48,275","49,817","50,658","52,534"
Lindsay city,"11,772","12,659","12,771","12,938","13,107","13,147","13,213","13,249","13,448","13,463","12,650","12,627","12,537"
Live Oak city,"8,465","8,550","8,361","8,373","8,383","8,411","8,707","8,724","8,723","8,912","9,152","9,295","9,428"
Livermore city,"81,599","82,589","83,831","85,448","87,017","88,248","89,572","90,137","90,253","90,189","87,880","86,388","84,701"
Livingston city,"13,068","13,366","13,416","13,460","13,722","13,810","13,916","14,085","14,417","14,896","14,254","14,626","14,760"
